,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVE SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVERAGE NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,3.0,2.0,2e-07,0.009433962246351015,11.4,25.0,14.56,11.4,23.0,92.0,"[1, 2, 2, 1, 2, 2, 2, 5, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 5, 1, 1, 1, 1, 2, 2, 1, 1, 1, 3, 1, 1, 3, 2, 1, 1, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 2, 4, 2, 3, 1, 1, 1, 2, 1, 1, 2, 2, 1, 3, 1, 1, 3, 1, 1, 1, 2, 3, 3, 1, 1, 1, 2, 1]","[0, 0, 0, 0, 0]",6.163043478260869
1,38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,23.0,37.0,-2.3333333333333333e-07,0.11320754695621217,11.8,35.52859618717504,18.931438474870017,11.8,205.0,577.0,"[2, 2, 2, 2, 1, 2, 3, 3, 1, 1, 2, 4, 3, 1, 2, 3, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 3, 1, 2, 3, 3, 1, 4, 2, 1, 1, 1, 2, 2, 4, 1, 1, 2, 2, 1, 2, 1, 3, 4, 3, 3, 2, 2, 1, 3, 1, 1, 1, 4, 1, 2, 2, 2, 2, 3, 1, 2, 2, 3, 2, 3, 4, 1, 1, 2, 2, 4, 1, 1, 4, 1, 2, 3, 3, 3, 1, 1, 1, 1, 1, 1, 4, 1, 2, 5, 2, 5, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 3, 2, 3, 3, 2, 1, 2, 2, 1, 3, 1, 1, 2, 2, 2, 1, 4, 1, 4, 1, 5, 2, 2, 3, 1, 2, 3, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 4, 1, 2, 1, 1, 1, 2, 1, 5, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 3, 1, 3, 1, 1, 3, 2, 1, 3, 1, 1, 3, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 3, 1, 2, 1, 3, 3, 1, 3, 3, 2, 2, 2, 1, 3, 4, 1, 1, 1, 3, 1, 4, 1, 1, 1, 1, 3, 1, 2, 3, 1, 1, 4, 4, 1, 5, 3, 2, 1, 4, 2, 2, 1, 3, 2, 1, 1, 1, 2, 1, 1, 3, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 3, 3, 2, 1, 1, 3, 3, 2, 2, 1, 3, 1, 1, 1, 1, 3, 2, 2, 1, 4, 2, 1, 2, 3, 3, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 3, 2, 2, 1, 1, 2, 1, 5, 2, 4, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 4, 1, 2, 4, 2, 2, 2, 1, 1, 2, 4, 1, 1, 2, 1, 3, 2, 2, 1, 1, 3, 2, 3, 1, 3, 3, 1, 1, 2, 1, 3, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 4, 1, 4, 3, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 3, 3, 2, 1, 2, 1, 1, 1, 2, 2, 1, 3, 1, 2, 3, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 1, 1, 3, 3, 4, 1, 1, 2, 1, 2, 3, 3, 2, 3, 3, 2, 1, 3, 2, 3, 1, 1, 1, 5, 3, 4, 3, 2, 1, 1, 3, 2, 2, 2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 3, 3, 1, 1, 2]","[0, 2, 0, 0, 0]",6.6031195840554595
2,39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,6.0,22.0,-5.714285714285714e-07,0.05283018857956568,13.457142857142857,36.266666666666666,19.88952380952381,13.457142857142857,136.0,375.0,"[1, 4, 4, 1, 3, 3, 2, 1, 2, 1, 3, 1, 1, 2, 1, 2, 3, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 3, 2, 1, 4, 1, 3, 2, 1, 2, 3, 2, 2, 3, 2, 1, 2, 3, 2, 2, 3, 1, 2, 1, 1, 2, 2, 4, 3, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 4, 1, 2, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 2, 3, 2, 5, 2, 3, 1, 2, 2, 1, 1, 1, 1, 3, 2, 3, 1, 3, 1, 1, 1, 3, 1, 2, 2, 1, 5, 2, 4, 1, 4, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 2, 1, 1, 2, 2, 2, 1, 4, 1, 1, 3, 3, 1, 2, 2, 3, 3, 1, 3, 2, 3, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 3, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 4, 1, 1, 2, 2, 3, 1, 4, 2, 1, 3, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 4, 3, 3, 1, 2, 3, 1, 1, 3, 3, 2, 2, 4, 1, 2, 1, 3, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 3, 2, 1, 1, 2, 1, 3, 2, 1, 2, 2, 1, 5, 2, 2, 1, 2, 1, 1, 1, 3, 2, 4, 3, 1, 4, 2, 4, 1, 3, 1, 1, 3, 2, 4, 5, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 2, 1, 5, 3, 2, 1, 4, 2, 3, 2, 2, 2, 1, 4, 2, 2, 1, 2, 3, 3, 3, 1, 1, 1, 2, 1, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]",6.581333333333333
3,40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,26.0,48.0,-2.972972972972973e-07,0.13962264124599502,14.28,44.354838709677416,23.453935483870968,14.28,275.0,620.0,"[1, 3, 4, 4, 4, 3, 2, 3, 1, 2, 3, 2, 3, 1, 2, 3, 3, 2, 2, 3, 2, 2, 1, 1, 2, 3, 2, 2, 1, 4, 2, 2, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 5, 1, 2, 3, 1, 1, 2, 1, 1, 2, 2, 3, 3, 3, 1, 2, 2, 1, 2, 1, 2, 3, 2, 1, 5, 3, 2, 1, 3, 3, 1, 5, 2, 3, 2, 3, 1, 2, 2, 3, 2, 2, 1, 1, 3, 3, 2, 2, 1, 1, 3, 1, 1, 3, 3, 4, 2, 3, 2, 1, 3, 3, 1, 1, 2, 1, 3, 2, 5, 4, 3, 3, 2, 2, 2, 3, 2, 1, 3, 2, 2, 1, 1, 2, 1, 3, 3, 2, 1, 3, 1, 3, 1, 4, 2, 2, 3, 4, 1, 3, 2, 4, 2, 1, 2, 1, 2, 2, 3, 2, 5, 1, 2, 3, 1, 3, 2, 1, 4, 2, 3, 4, 2, 3, 1, 2, 1, 3, 2, 2, 3, 1, 2, 1, 1, 2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 1, 3, 2, 2, 3, 2, 1, 2, 1, 2, 2, 3, 1, 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 2, 1, 2, 1, 2, 3, 3, 2, 1, 2, 2, 2, 1, 2, 2, 5, 2, 2, 1, 2, 1, 2, 2, 3, 1, 3, 3, 1, 2, 1, 1, 3, 3, 2, 1, 1, 2, 1, 2, 3, 4, 2, 1, 3, 2, 3, 2, 3, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 3, 3, 2, 1, 3, 3, 3, 3, 3, 2, 1, 1, 3, 2, 3, 2, 2, 2, 1, 3, 2, 2, 3, 3, 1, 2, 3, 6, 2, 3, 3, 2, 1, 2, 4, 1, 2, 2, 1, 1, 1, 2, 1, 2, 3, 2, 4, 1, 1, 3, 3, 1, 3, 2, 1, 1, 2, 3, 1, 2, 3, 2, 1, 2, 2, 1, 3, 2, 1, 5, 1, 3, 2, 1, 4, 2, 3, 2, 1, 2, 2, 3, 2, 2, 3, 1, 2, 3, 3, 1, 1, 3, 1, 1, 1, 3, 3, 1, 3, 1, 3, 2, 1, 1, 3, 2, 1, 4, 1, 2, 1, 2, 3, 1, 3, 2, 3, 3, 3, 1, 2, 4, 3, 5, 1, 1, 1, 2, 1, 1, 1, 2, 2, 3, 1, 1, 4, 3, 4, 2, 1, 2, 2, 1, 4, 4, 2, 1, 3, 2, 2, 2, 3, 3, 3, 1, 3, 4, 2, 1, 2, 4, 1, 1, 3, 2, 1, 1, 1, 4, 1, 2, 3, 4, 2, 2, 2, 2, 1, 3, 1, 3, 3, 1, 4, 1, 1, 2, 1, 2, 1, 2, 1, 4, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 3, 1, 1, 3, 2, 2, 1, 2, 2, 3, 1, 2, 3, 1, 5, 3, 2, 2, 1, 2, 1, 2, 5, 2, 2, 1, 2, 1, 1, 2, 2, 1, 3, 2, 3, 2, 1, 1, 1, 2, 3, 4, 3, 2, 2, 3, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 2, 4, 3, 2, 2, 1, 3, 4, 3, 2, 4, 2, 1, 6, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 3, 2, 1, 1, 2, 2, 3, 3, 2, 2, 3, 2, 2, 3, 1, 2, 1, 2, 5, 3, 2, 3, 2, 1, 2, 1, 1, 1, 3, 2, 3, 2, 1, 1, 3, 1, 1, 3, 3, 4, 2, 2, 2, 1, 2, 2, 2, 1, 1, 3, 3, 3, 3, 1, 2, 1, 5, 1, 4, 1, 3, 3]","[0, 0, 0, 0, 0]",7.216129032258064
4,41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,21.0,31.0,-1.9230769230769231e-07,0.09811320736205055,15.868421052631579,35.0104821802935,20.351561293170036,15.868421052631579,167.0,477.0,"[2, 3, 3, 2, 1, 4, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 3, 1, 2, 2, 1, 1, 2, 2, 3, 1, 2, 3, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 4, 3, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 4, 3, 1, 3, 2, 1, 3, 1, 1, 2, 2, 2, 1, 1, 1, 2, 3, 2, 2, 1, 2, 4, 1, 1, 3, 4, 3, 3, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 2, 5, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 2, 3, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 3, 3, 2, 1, 2, 1, 2, 2, 3, 2, 2, 1, 1, 1, 3, 1, 3, 2, 1, 2, 1, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 4, 4, 1, 2, 2, 1, 2, 3, 1, 2, 2, 1, 1, 1, 2, 2, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 4, 1, 3, 1, 3, 3, 2, 1, 2, 4, 5, 3, 2, 1, 1, 4, 3, 2, 2, 4, 1, 1, 1, 4, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 1, 1, 3, 1, 2, 1, 4, 3, 2, 3, 1, 1, 1, 3, 2, 3, 2, 1, 2, 3, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 2, 2, 1, 2, 5, 4, 1, 2, 1, 3, 1, 1, 2, 1, 3, 2, 3, 2, 3, 2, 1, 2, 2, 3, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 4, 2, 3, 1, 1, 3, 1, 3, 1, 2, 3, 2, 1, 3, 2, 2, 1, 4, 2, 2, 1, 2, 2, 2, 2, 1, 3, 1, 1, 4, 1, 2, 1, 2, 1, 3, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 4, 3, 3, 2, 3, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 5, 6, 4, 1, 3, 3, 3, 2, 2, 1, 4, 4, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 3, 1, 1, 2, 1, 3, 3, 2, 3, 3, 2, 2, 1, 1, 2, 1, 3, 2, 2, 1, 5, 2, 3, 2, 2, 1, 1, 1, 2, 3, 1, 3, 2, 2, 1, 4, 4, 1, 1, 2, 3, 3, 1, 1]","[0, 0, 0, 0, 0]",6.748427672955975
5,42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.0,0.0,,0.0,24.6,31.63265306122449,22.4930612244898,24.6,31.0,98.0,"[4, 3, 2, 1, 1, 4, 3, 2, 3, 1, 2, 1, 1, 2, 1, 3, 4, 2, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 4, 1, 1, 3, 2, 1, 3, 3, 1, 2, 1, 1, 1, 2, 2, 3, 2, 3, 3, 1, 3, 1, 2, 4, 1, 2, 3, 3, 1, 4, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 4, 1, 2, 1, 2, 1, 3, 1, 4, 1, 1, 3, 3, 2, 1, 1, 1, 3, 3, 2]","[0, 0, 0, 0, 0]",6.785714285714286
6,43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,25.0,18.0,1.6279069767441862e-07,0.08113207531861873,12.766666666666667,22.756410256410255,14.20923076923077,12.766666666666667,71.0,312.0,"[2, 2, 1, 1, 2, 3, 2, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 3, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 3, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 3, 2, 2, 1, 2, 4, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 4, 2, 1, 2, 2, 1, 1, 3, 1, 2, 3, 1, 1, 2, 3, 1, 3, 2, 1, 2, 2, 1, 1, 3, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 2, 3, 3, 3, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 2, 1, 3, 3, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3, 2, 2, 1, 2, 3, 2, 1, 3, 1, 1, 1, 3, 3, 1, 2, 3, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 2, 3, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 2, 2, 2, 1, 1, 1, 2, 3, 1, 2, 2, 2, 1, 1, 2]","[0, 5, 0, 0, 0]",5.80448717948718
7,44.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,5.0,27.0,-6.875e-07,0.06037735837664649,15.72340425531915,35.66666666666667,20.55602836879433,15.72340425531915,214.0,600.0,"[3, 1, 2, 3, 1, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 1, 2, 3, 2, 1, 1, 2, 3, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 4, 3, 3, 1, 1, 2, 1, 1, 1, 1, 3, 3, 1, 2, 3, 2, 3, 4, 4, 5, 2, 2, 1, 2, 2, 3, 1, 1, 2, 6, 2, 1, 2, 1, 1, 3, 1, 3, 2, 3, 2, 1, 2, 1, 2, 2, 2, 2, 3, 1, 2, 2, 1, 3, 2, 1, 3, 3, 3, 1, 2, 3, 2, 2, 1, 3, 1, 1, 1, 1, 2, 3, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 2, 3, 2, 3, 3, 2, 3, 2, 6, 2, 2, 1, 2, 1, 1, 1, 3, 2, 2, 2, 3, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 3, 2, 3, 1, 1, 3, 3, 4, 1, 2, 1, 2, 3, 2, 1, 2, 2, 1, 1, 2, 3, 1, 3, 1, 3, 3, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 3, 3, 2, 3, 1, 3, 1, 2, 3, 3, 4, 1, 1, 2, 2, 3, 2, 1, 1, 1, 1, 2, 3, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 3, 1, 1, 2, 2, 2, 3, 1, 1, 5, 2, 1, 1, 3, 1, 2, 3, 2, 1, 2, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 3, 1, 2, 1, 1, 3, 1, 1, 3, 3, 1, 2, 1, 1, 1, 3, 2, 3, 2, 4, 2, 1, 2, 3, 1, 1, 1, 2, 4, 3, 1, 1, 3, 1, 5, 2, 1, 3, 3, 1, 2, 2, 2, 3, 2, 2, 2, 4, 2, 2, 1, 1, 3, 1, 5, 1, 2, 2, 1, 1, 1, 3, 1, 2, 2, 1, 2, 1, 2, 2, 1, 3, 1, 3, 1, 2, 3, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 4, 1, 1, 3, 1, 2, 3, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 2, 1, 3, 1, 2, 3, 1, 2, 3, 1, 1, 1, 3, 2, 1, 3, 3, 2, 2, 3, 1, 3, 1, 4, 3, 1, 1, 2, 1, 2, 2, 2, 2, 3, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 3, 3, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2, 2, 1, 2, 3, 2, 1, 3, 1, 3, 1, 2, 2, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 3, 1, 2, 1, 3, 1, 4, 3, 2, 1, 1, 4, 1, 1, 2, 2, 2, 1, 2, 3, 2, 2, 2, 1, 1, 1, 3, 1, 2, 2, 1, 2, 1, 2, 3, 3, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 3, 1, 2, 1, 3, 2, 2, 2, 1, 4, 1, 1, 3, 3, 1, 3, 2, 1, 3, 1, 3, 3, 1, 1, 1, 1]","[0, 0, 0, 0, 1]",6.8533333333333335
8,45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,11.0,24.0,-3.7142857142857145e-07,0.0660377357244571,12.423076923076923,43.40344168260038,22.330607442270924,12.423076923076923,227.0,523.0,"[1, 2, 2, 4, 2, 1, 2, 2, 1, 4, 2, 3, 1, 1, 3, 1, 2, 3, 3, 2, 4, 1, 1, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 2, 4, 1, 1, 3, 4, 1, 2, 4, 4, 2, 1, 3, 1, 2, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 3, 2, 3, 2, 2, 1, 4, 2, 4, 2, 3, 2, 4, 3, 2, 2, 1, 1, 2, 3, 2, 1, 2, 2, 1, 2, 4, 3, 3, 1, 4, 2, 2, 3, 2, 1, 1, 4, 2, 2, 2, 2, 2, 2, 3, 1, 3, 4, 4, 1, 3, 2, 4, 3, 1, 4, 2, 2, 2, 6, 3, 1, 2, 5, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 3, 1, 2, 4, 1, 2, 1, 1, 5, 1, 1, 2, 2, 2, 1, 1, 6, 1, 4, 1, 2, 2, 2, 3, 2, 1, 1, 2, 2, 5, 2, 2, 2, 3, 1, 2, 2, 3, 3, 1, 2, 1, 1, 1, 2, 1, 5, 2, 1, 2, 1, 2, 2, 2, 2, 3, 3, 2, 3, 1, 2, 2, 1, 2, 1, 2, 1, 5, 2, 2, 1, 1, 3, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 4, 1, 1, 3, 2, 2, 1, 1, 1, 3, 1, 1, 1, 5, 3, 1, 3, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 1, 1, 3, 2, 4, 3, 1, 2, 2, 1, 1, 2, 2, 2, 1, 3, 3, 4, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 2, 2, 3, 3, 1, 1, 2, 2, 1, 1, 3, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 3, 2, 2, 2, 3, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 4, 3, 1, 2, 1, 2, 3, 3, 2, 1, 2, 1, 1, 1, 1, 2, 3, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 4, 2, 2, 1, 2, 1, 2, 1, 1, 3, 2, 2, 2, 1, 1, 1, 2, 4, 1, 2, 1, 1, 2, 3, 1, 3, 1, 1, 2, 3, 3, 1, 1, 2, 1, 4, 3, 1, 3, 2, 2, 2, 2, 1, 2, 3, 1, 3, 1, 2, 2, 3, 1, 2, 2, 3, 3, 2, 2, 1, 4, 1, 2, 1, 2, 1, 1, 1, 3, 2, 1, 1, 3, 3, 1, 3, 2, 1, 3, 2, 2, 1, 4, 3, 2, 2, 2, 1, 2, 3, 3, 3, 1, 3, 3, 1, 2, 2, 1, 4, 1, 4, 1, 3, 3, 1, 2, 5, 1, 3, 2, 2, 3, 2, 1, 1, 1, 1, 3, 2, 3, 5, 3, 4, 2, 1, 1, 1, 1, 1, 3, 1, 3, 3, 1, 2, 2, 2, 4, 2, 1, 2, 2, 3]","[0, 0, 0, 0, 0]",7.3499043977055445
9,46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,16.0,17.0,-3.0303030303030305e-08,0.06226415082591669,14.794117647058824,39.416058394160586,21.684070416487767,14.794117647058824,162.0,411.0,"[2, 2, 4, 2, 1, 4, 2, 2, 2, 5, 5, 1, 1, 3, 3, 1, 3, 1, 2, 1, 1, 2, 4, 1, 2, 2, 3, 1, 2, 3, 3, 2, 3, 1, 1, 3, 2, 3, 1, 2, 3, 2, 3, 3, 2, 1, 1, 2, 2, 3, 2, 4, 2, 2, 2, 3, 1, 2, 3, 1, 2, 3, 2, 4, 2, 1, 1, 1, 2, 4, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 3, 2, 1, 1, 3, 1, 1, 2, 1, 3, 1, 2, 3, 2, 1, 4, 3, 2, 3, 1, 1, 2, 2, 3, 1, 3, 3, 1, 2, 1, 2, 2, 5, 3, 2, 3, 2, 2, 3, 2, 3, 4, 3, 3, 3, 2, 3, 1, 1, 3, 1, 2, 2, 2, 3, 1, 3, 2, 4, 3, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 1, 2, 2, 1, 4, 1, 1, 4, 3, 2, 1, 1, 2, 2, 3, 1, 1, 1, 1, 2, 3, 1, 2, 2, 1, 1, 2, 3, 4, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 3, 4, 2, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 1, 2, 4, 2, 2, 1, 1, 2, 1, 1, 1, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 3, 3, 1, 4, 2, 1, 2, 3, 2, 3, 3, 6, 1, 1, 1, 1, 3, 1, 5, 2, 2, 5, 3, 1, 3, 5, 2, 2, 1, 1, 3, 3, 2, 1, 2, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 3, 1, 3, 2, 2, 3, 1, 3, 1, 1, 4, 4, 3, 1, 2, 2, 2, 1, 1, 3, 3, 4, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 4, 1, 3, 2, 2, 2, 2, 3, 2, 1, 2, 2, 3, 3, 3, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 2, 3, 4, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 3, 1, 4, 2, 1, 4, 2, 1, 1, 1, 3, 3, 4, 2, 2, 4, 2, 1, 2, 3, 2, 3, 2, 4, 1, 3, 2, 1, 2, 2, 4, 3]","[0, 1, 0, 0, 0]",6.953771289537713
